g_B,lambda_det,block_gap_LB_units,gap_gt_3,ground_energy
1.22,0.2,2.7884981234103465,False,-3.823738542932273
1.24,0.0,2.6853486083386344,False,-3.529439151406408
1.24,0.02,2.6837870094047616,False,-3.52962392484123
1.24,0.05,2.67570576384803,False,-3.5305962813194895
1.24,0.1,2.6483076456003714,False,-3.5341006820923333
1.24,0.2,2.555618201645749,False,-3.548626810278095
1.26,0.0,2.4678608510118805,False,-3.265660549653132
1.26,0.02,2.4662174410322555,False,-3.2658711543586145
1.26,0.05,2.4577291639890833,False,-3.2669798363756475
1.26,0.1,2.4291401701913427,False,-3.2709809666527883
1.26,0.2,2.334189492687814,False,-3.287653951989573
1.28,0.0,2.2615076797522327,False,-3.0154407606216083
1.28,0.02,2.259780007128333,False,-3.0156814779289975
1.28,0.05,2.2508761704472686,False,-3.0169492058291727
1.28,0.1,2.2211113496664314,False,-3.02153159282098
1.28,0.2,2.124279379610006,False,-3.04074516752592
1.3,0.0,2.0662981960417897,False,-2.7786716701056435
1.3,0.02,2.0644841089044528,False,-2.778947472682461
1.3,0.05,2.055158598607965,False,-2.780400685106999
1.3,0.1,2.0242490000314124,False,-2.7856633747405017
1.3,0.2,1.9260140524090115,False,-2.8078899142800853
1.3199999999999998,0.0,1.8822652773264894,False,-2.5552753170101727
1.3199999999999998,0.02,1.8803629826305164,False,-2.5555919426935017
1.3199999999999998,0.05,1.8706125711530208,False,-2.5572612173651317
1.3199999999999998,0.1,1.838608020612611,False,-2.5633197412538036
1.3199999999999998,0.2,1.739562916542617,False,-2.589125790258269
1.3399999999999999,0.0,1.7094452844437131,False,-2.345182918306692
1.3399999999999999,0.02,1.7074533996576302,False,-2.345546936191888
1.3399999999999999,0.05,1.6972782102669883,False,-2.3474673821466308
1.3399999999999999,0.1,1.6642502154596348,False,-2.354455791767461
1.3399999999999999,0.2,1.5651208882952874,False,-2.3845204692923265
1.3599999999999999,0.0,1.5478561284686583,False,-2.1483123583369674
1.3599999999999999,0.02,1.5457737208515745,False,-2.1487312219710906
1.3599999999999999,0.05,1.5351776638545775,False,-2.150942820270344
1.3599999999999999,0.1,1.5012224079706664,False,-2.159015762166824
